Time,event_type,data.policy_id,data.policy_action,data.policy_name,data.risk_level,data.risk_score,data.rule_id,data.rule_name,data.userid,time,data.decision_decisionCode,data.applicationid,data.applicationname,year,month,day
"Jul 13, 2023 @ 22:58:41.261",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,LOW,100,1658497895297,MyApplication_ISV_USER Allow with MFA,userid001,"Jul 13, 2023 @ 22:58:41.261",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 22:58:18.429",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,LOW,100,1658497895297,MyApplication_ISV_USER Allow with MFA,userid001,"Jul 13, 2023 @ 22:58:18.429",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 22:57:55.465",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,LOW,100,1658497895297,MyApplication_ISV_USER Allow with MFA,userid001,"Jul 13, 2023 @ 22:57:55.465",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 22:10:28.435",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,LOW,100,1658497895297,MyApplication_ISV_USER Allow with MFA,userid002,"Jul 13, 2023 @ 22:10:28.435",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 22:09:57.226",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,LOW,100,1658497895297,MyApplication_ISV_USER Allow with MFA,userid002,"Jul 13, 2023 @ 22:09:57.226",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 21:39:34.739",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,VERY_HIGH,850,1658497895297,MyApplication_ISV_USER Allow with MFA,userid002,"Jul 13, 2023 @ 21:39:34.739",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 21:39:08.434",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,VERY_HIGH,850,1658497895297,MyApplication_ISV_USER Allow with MFA,userid002,"Jul 13, 2023 @ 21:39:08.434",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 20:51:23.822",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,LOW,100,1658497895297,MyApplication_ISV_USER Allow with MFA,userid002,"Jul 13, 2023 @ 20:51:23.822",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 20:50:53.181",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,LOW,100,1658497895297,MyApplication_ISV_USER Allow with MFA,userid002,"Jul 13, 2023 @ 20:50:53.181",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 20:19:52.558",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,LOW,100,1658497895297,MyApplication_ISV_USER Allow with MFA,userid002,"Jul 13, 2023 @ 20:19:52.558",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 20:19:15.345",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,LOW,100,1658497895297,MyApplication_ISV_USER Allow with MFA,userid002,"Jul 13, 2023 @ 20:19:15.345",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 20:18:46.992",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,LOW,100,1658497895297,MyApplication_ISV_USER Allow with MFA,userid002,"Jul 13, 2023 @ 20:18:46.992",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 19:49:41.142",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,HIGH,550,1658497895297,MyApplication_ISV_USER Allow with MFA,userid003,"Jul 13, 2023 @ 19:49:41.142",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 19:49:12.707",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,HIGH,550,1658497895297,MyApplication_ISV_USER Allow with MFA,userid003,"Jul 13, 2023 @ 19:49:12.707",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
"Jul 13, 2023 @ 19:48:15.494",adaptive_risk,36318,ACTION_MFA_ALWAYS,MyApplication Secured by Adaptive,LOW,75,1658497895297,MyApplication_ISV_USER Allow with MFA,userid004,"Jul 13, 2023 @ 19:48:15.494",CUSTOM_ATTRIBUTES_DETECTED,5039230433596710000,MyApplication,2023,7,13
